timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749428436.524,-16.113,-16.113,-5.371,-16.602,0.000,0
1749428436.528,-6.836,-20.996,-2.441,-9.766,0.000,0
1749428436.532,0.000,-19.043,3.418,-1.465,0.000,0
1749428436.536,17.090,-3.906,19.043,8.301,0.000,0
1749428436.540,37.598,-4.883,10.742,4.395,0.000,0
1749428436.544,4.395,-26.855,-12.695,-7.812,0.000,0
1749428436.548,-29.785,-32.715,-6.836,-12.207,0.000,0
1749428436.552,-31.738,-22.949,5.859,-9.766,0.000,0
1749428436.556,-20.020,-28.809,7.812,0.000,0.000,0
1749428436.559,-8.789,-36.133,18.066,14.160,0.000,0
1749428436.563,-6.348,-36.621,27.344,17.090,0.000,0
1749428436.567,5.859,-33.203,32.227,7.324,0.000,0
1749428436.571,12.207,-30.762,34.180,3.906,0.000,0
1749428436.575,-2.441,-31.738,22.461,-1.953,0.000,0
1749428436.579,-18.555,-31.250,20.996,-3.906,0.000,0
1749428436.583,-14.160,-27.832,28.320,3.418,0.000,0
1749428436.587,-13.672,-36.621,22.949,7.324,0.000,0
1749428436.591,-22.461,-48.340,18.066,0.488,0.000,0
1749428436.595,-27.344,-43.457,15.625,-3.906,0.000,0
1749428436.599,-19.043,-46.875,8.789,-0.977,0.000,0
1749428436.603,0.977,-48.828,19.531,12.207,0.000,0
1749428436.606,-6.836,-37.109,14.648,6.836,0.000,0
1749428436.610,-32.227,-37.109,-2.930,-8.301,0.000,0
1749428436.614,-15.625,-36.621,10.254,7.812,0.000,0
1749428436.618,-1.953,-29.297,15.137,13.672,0.000,0
1749428436.622,-20.508,-21.973,-0.488,0.000,0.000,0
1749428436.626,-42.969,-28.320,-10.742,-13.184,0.000,0
1749428436.630,-23.438,-18.555,-3.906,-7.324,0.000,0
1749428436.634,6.836,-10.742,11.230,12.695,0.000,0
1749428436.638,2.441,-27.832,9.277,11.230,0.000,0
1749428436.642,-19.531,-32.715,-1.465,-6.836,0.000,0
1749428436.646,-15.625,-27.832,2.441,-14.648,0.000,0
1749428436.650,-3.906,-24.902,17.578,-8.301,0.000,0
1749428436.653,-16.113,-22.461,12.207,-2.441,0.000,0
1749428436.657,-30.762,-25.391,3.418,-7.324,0.000,0
1749428436.661,-21.484,-24.414,1.465,-5.371,0.000,0
1749428436.665,8.789,-3.906,8.789,6.348,0.000,0
1749428436.669,9.766,5.859,15.625,2.930,0.000,0
1749428436.673,-15.625,-4.883,6.348,-6.836,0.000,0
1749428436.677,-25.391,-20.508,-1.953,-14.648,0.000,0
1749428436.681,-16.113,-22.461,-0.977,-11.230,0.000,0
1749428436.685,-7.812,-17.090,1.465,1.953,0.000,0
1749428436.689,9.277,-13.184,4.883,6.348,0.000,0
1749428436.693,18.066,-9.277,13.184,10.742,0.000,0
1749428436.696,-12.207,-14.160,9.277,5.859,0.000,0
1749428436.700,-30.762,-23.926,-8.789,-11.230,0.000,0
1749428436.704,-23.438,-29.785,-4.395,-20.020,0.000,0
1749428436.708,-25.879,-34.668,0.488,-24.902,0.000,0
1749428436.712,-26.367,-21.484,-4.883,-20.020,0.000,0
1749428436.716,-12.695,-2.441,1.465,-3.906,0.000,0
1749428436.720,-6.836,-3.418,10.254,-16.602,0.000,0
1749428436.723,-7.812,-10.254,5.371,78.613,0.000,0
1749428436.728,-8.789,-8.301,6.836,207.520,0.000,0
1749428436.732,-4.395,-19.043,10.742,201.660,0.000,0
1749428436.736,-4.395,-23.926,9.277,193.359,0.000,0
1749428436.739,-2.441,-15.625,7.324,187.012,0.000,0
1749428436.743,-4.883,-28.809,1.953,168.457,0.000,0
1749428436.747,-26.367,-40.527,-0.488,147.461,0.000,0
1749428436.751,-17.090,-21.484,5.371,144.531,0.000,0
1749428436.755,-2.930,-7.812,13.672,134.766,0.000,0
1749428436.759,-25.391,-13.184,10.742,100.098,0.000,0
